fish_id	month	origin	length	mass	body_depth	kidney_depth	KB_ratio	qPCR_ddCt	qPCR_sqrt	haematocrit	leukocrit	lymphocyte_count	monocyte_count	granulocyte_count	thrombocyte_count	lymphocyte_concentration_sqrt	monocyte_concentration_sqrt	granulocyte_concentration_sqrt	thrombocyte_concentration_sqrt	SMR_1	SMR_2	SMR_3	MMR_1	MMR_2	MMR_3	SMR_mean	MMR_mean	AS	SMR_std	MMR_std	AS_std	UTT_trial	UTT_temperature	UTT_rank	UTT_degree_sec	UTT_degree_sec_centered
50	september	vainupea	60	2.35	5.259	2.622	0.498573873359954	1.0459551749	1.02271949961854	0.2562830688	0.0345238095	416	4	181	416	10.3253937755807	1.01248816052337	6.81081753189733	10.3253937755807	2.94893937755349e-07	2.99529423711329e-07	2.94296414264412e-07	8.1730161116714e-07	8.3870343703831e-07	9.09267428135282e-07	2.96239925243697e-07	8.55090825446911e-07	5.58850900203214e-07	1.27460451311986e-07	3.72056762174736e-07	2.44152445701187e-07	utt_04	29.5	3	9289.7312794782	-192.281762747087
51	september	vainupea	59	1.8	4.652	0.556	0.119518486672399	0.0332654938	0.182388304997881	0.2418055531	0.0116788321	184	3	16	1	6.67024900362798	0.851713953918802	1.96694912227032	0.491737280567581	2.17231641550351e-07	2.14591352751211e-07	2.1475235659613e-07	8.33992981943084e-07	8.82540761539617e-07	8.75865633219185e-07	2.15525116965897e-07	8.64133125567295e-07	6.48608008601398e-07	1.16538435122342e-07	4.54606492734731e-07	3.37836387554054e-07	utt_04	29.8	5	10245.731246064	763.718203838715
52	september	vainupea	69	3.2	5.706	0.967	0.169470732562215	4.6071554502	2.14642853368101	0.2863636364	0.0075757576	103	1	14	94	5.43097178681679	0.535129551043483	2.00227143754287	5.18827349140347	2.99935708124189e-07	2.858021177653e-07	2.64916902159835e-07	1.13213485127899e-06	1.25561455946596e-06	1.14163190851116e-06	2.83551576016441e-07	1.17646043975204e-06	8.92908863735595e-07	9.3638037233425e-08	4.10860351846129e-07	3.1823974486955e-07	utt_04	29.7	4	9822.3546904341	340.341648208814
53	september	vainupea	70.5	3.2	5.799	0.755	0.130194861182963	0.0078759238	0.0887464016171923	0.2610355907	0.0052737271	83	0	19	71	4.65467013096524	0	2.22703305393072	4.30505829689913	3.01758744533544e-07	3.33557255343443e-07	2.8695676456455e-07	1.17531934141772e-06	1.16384609521099e-06	1.31126091861578e-06	3.07424254813846e-07	1.2168087850815e-06	9.09384530267651e-07	1.0152157933006e-07	4.24951378452994e-07	3.24111802060003e-07	utt_04	29.3	2	8737.5234295918	-744.489612633486
54	september	vainupea	66	3	5.676	2.156	0.37984496124031	1.7473411436	1.32187032026595	0.3029812349	0.0209291768	228	7	153	202	8.31142115147584	1.4563202409841	6.80853353811964	7.82318409918877	3.48124582260334e-07	3.50863812402406e-07	3.5275584542546e-07	1.23553691007836e-06	1.2031399561792e-06	1.31829500558379e-06	3.50581413362733e-07	1.25232395728045e-06	9.01742543917717e-07	1.22357450691291e-07	4.57923451234658e-07	3.35361218957341e-07	utt_04	28.7	1	7313.6457874593	-2168.36725476599
55	september	vainupea	55.5	1.75	4.957	0.721	0.145450877546903	2.8871306424	1.69915586171487	0.3460207612	0.008650519	39	3	23	24	3.67352823410955	1.01885341614974	2.82107736646835	2.88175263837825	1.94627187158114e-07	1.74952491798201e-07	1.86961427587892e-07	8.00045751085047e-07	8.22093621410904e-07	7.62063014284851e-07	1.85513702181402e-07	7.94734128926934e-07	6.09220426745532e-07	1.02761991226075e-07	4.26568730540527e-07	3.23270703542273e-07	utt_04	30	6	10429.6613144132	947.648272187915
56	september	mustoja	64	3.5	6.721	2.321	0.345335515548282	2.9104895023	1.70601568055513	0.3898305085	0.0084745763	NA	NA	NA	NA	NA	NA	NA	NA	2.4411787219177e-07	2.56744251210969e-07	2.90016412525366e-07	1.04482803859519e-06	1.04871464100554e-06	1.14975491714417e-06	2.63626178642702e-07	1.08109919891497e-06	8.17473020272265e-07	8.06222740907581e-08	3.5421654749509e-07	2.74635674776436e-07	utt_06	NA	NA	NA	NA
57	september	vainupea	78	4.6	7.144	0.984	0.137737961926092	2.706785633	1.64523117919641	0.3937098448	0.0075471698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.3	8	13455.1211546163	635.286879709189
58	september	vainupea	76	4.35	6.878	1.135	0.165018900843268	0.0625192454	0.250038487837373	0.3554061574	0.0083472454	66	1	34	51	4.84322272752348	0.596159506675856	3.47617740508162	4.25743044892104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.5	9	14010.5833167073	1190.74904180019
59	september	vainupea	68	3.4	5.96	2.191	0.367617449664429	1.8459386152	1.35865323581847	0.342001325	0.0163636364	41	0	6	302	3.74460336017047	0	1.43248314126205	10.1628932962026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	utt_05	30.2	6	12910.5033618117	90.6690869045888
